,poches,score
110,2HPE_pocket5_at;1HSI_pocket6_at,0.0
111,2MIP_pocket5_at;1IVQ_pocket6_at,0.0
112,2HPE_pocket11_at;2HPE_pocket8_at,0.0
113,3ECG_pocket11_at;4UPJ_pocket3_at,0.0
114,1IVQ_pocket7_at;1IVP_pocket8_at,0.0
115,2HPE_pocket11_at;1IVQ_pocket5_at,0.0
116,3EC0_pocket7_at;4UPJ_pocket2_at,0.0
117,1JLD_pocket6_at;1IVP_pocket5_at,0.0
118,1IVQ_pocket0_at;2MIP_pocket1_at,0.0
119,2HPF_pocket7_at;1IVP_pocket4_at,0.0577
120,3EC0_pocket7_at;1HSI_pocket3_at,0.0
121,3UPJ_pocket2_at;1HSH_pocket3_at,0.0
122,3ECG_pocket2_at;2HPE_pocket8_at,0.0
123,1JLD_pocket6_at;3ECG_pocket1_at,0.0
124,3UPJ_pocket2_at;3EC0_pocket5_at,0.0
125,3UPJ_pocket6_at;2MIP_pocket3_at,0.0
126,1IDB_pocket5_at;3S45_pocket7_at,0.0
127,1IVQ_pocket2_at;3S45_pocket10_at,0.0
128,1IDB_pocket5_at;1HII_pocket6_at,0.0
129,3ECG_pocket2_at;6UPJ_pocket4_at,0.0
130,1IVQ_pocket2_at;2HPE_pocket7_at,0.0
131,3ECG_pocket7_at;1IDA_pocket5_at,0.0
132,2HPF_pocket5_at;6UPJ_pocket1_at,0.0588
133,3UPJ_pocket2_at;1HSI_pocket4_at,0.0
134,1JLD_pocket2_at;1HSI_pocket6_at,0.0
135,3ECG_pocket8_at;2HPE_pocket8_at,0.0
136,1HSH_pocket7_at;3UPJ_pocket3_at,0.0
137,3ECG_pocket11_at;4UPJ_pocket7_at,0.0
138,1HSI_pocket8_at;3ECG_pocket3_at,0.5532
139,3ECG_pocket8_at;1IDB_pocket10_at,0.4762
140,4UPJ_pocket4_at;3UPJ_pocket6_at,0.0
141,3UPJ_pocket2_at;3EBZ_pocket6_at,0.0
142,3UPJ_pocket4_at;2HPF_pocket6_at,0.0
143,3UPJ_pocket0_at;2HPF_pocket2_at,0.0
144,2HPE_pocket1_at;4UPJ_pocket6_at,0.0
145,1IVP_pocket11_at;1IDA_pocket7_at,0.0
146,2HPE_pocket10_at;3S45_pocket1_at,0.0
147,4UPJ_pocket0_at;3ECG_pocket4_at,0.0
148,3EBZ_pocket8_at;3EC0_pocket5_at,0.0
149,1HII_pocket7_at;1IVQ_pocket4_at,0.0
150,1IVQ_pocket2_at;1HSI_pocket6_at,0.0
151,5UPJ_pocket6_at;3EC0_pocket9_at,0.0
152,3S45_pocket4_at;2HPE_pocket10_at,0.0
153,1HSH_pocket1_at;6UPJ_pocket1_at,0.0
154,1HII_pocket0_at;1IDB_pocket7_at,0.0
155,1IVP_pocket6_at;3UPJ_pocket0_at,0.106
156,1IVP_pocket2_at;4UPJ_pocket2_at,0.008
157,3ECG_pocket2_at;6UPJ_pocket8_at,0.0
158,3ECG_pocket7_at;1IDB_pocket2_at,0.0
159,2HPE_pocket8_at;4UPJ_pocket3_at,0.0
160,1HSI_pocket8_at;1IVP_pocket10_at,0.0
161,1IDB_pocket2_at;2HPF_pocket1_at,0.0
162,1HII_pocket7_at;1IVP_pocket6_at,0.0
163,3EC0_pocket8_at;3S45_pocket9_at,0.0
164,3EBZ_pocket3_at;3EBZ_pocket5_at,0.0
165,2MIP_pocket2_at;3ECG_pocket9_at,0.0
166,6UPJ_pocket6_at;3S45_pocket1_at,0.0
167,4UPJ_pocket6_at;1IVP_pocket4_at,0.0
168,3ECG_pocket11_at;1HSH_pocket6_at,0.0
169,1HII_pocket0_at;3EBZ_pocket11_at,0.0
170,1IDB_pocket5_at;4UPJ_pocket7_at,0.0
171,2HPE_pocket10_at;1JLD_pocket8_at,0.0
172,2MIP_pocket0_at;6UPJ_pocket6_at,0.0102
173,3EC0_pocket7_at;3EBZ_pocket3_at,0.0
174,1IDB_pocket6_at;1IVP_pocket3_at,0.0
175,3EC0_pocket8_at;1HII_pocket3_at,0.0
176,5UPJ_pocket1_at;1HSH_pocket5_at,0.4038
177,3EBZ_pocket2_at;1IDB_pocket3_at,0.0
178,1IDA_pocket5_at;3EBZ_pocket6_at,0.0
179,3ECG_pocket2_at;3EBZ_pocket7_at,0.0
180,2MIP_pocket2_at;1IVP_pocket0_at,0.007
